,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg,ID,text
110,Samstagsidyll,"Holz, Arno",17,4,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180114,"es sein eine tag   wie es ihr viele giebt   wenn falb die sommer in die herbst zerstieben   verstummt schon scheinen die vogel bunt völkchen und grau an+die himmel stehen klein wölkchen   nur ab und zu schwimmen es fernher durch die luft noch weich wie eine verirrt rosenduft und wie eine lenzlockruf   nur herbstlich still   klang hie und da eine spät vogeltriller   auf lau wind flügel kommen es und schwinden und reichen wiederkehrend sich die hand   wie wenn zwei herz durch eine letzt gruß|grüßen sich noch die scheidens bittres weh versüßen   doch also sein es nur draußen fern in+die hag   durch die fabrikstadt schleichen die werkeltag   die schwarzberußte schurzfell um die lende   sein er bemühen   die woche zu beenden   er lassen die eisen wie eine licht erglühn und mehr als hundert essen funken sprühn   und   unbekümmert um die eigen jammer   schwingen er die centnerschweren schmiedehammer   hier sein es eine schienenwagen   dort eine schiff   die schornstein rauchen und die dampfhahn pfeifen   die rad rollen ewig um in+die kreis und alle drehen sich in+die alt gleis   nur du und ich   wir beide sein frei und wissen nichts von werktagssclaverei   wir jauchzen auf   die noth in wir begrabend   und machen schon nachmittags feierabend   denn haben jede nicht mit lust und kraft die woche über pflichtgetreu schaffen   die nähmaschine haben du treiben und ich denken|gedenken   dichten und schreiben   doch nun sein ich                   ""                   die trocknen ton satt                   ""                   und schreiben energisch   punkt   auf+die letzt blatt und steigen dann flink   ich selber zu+die belohnung   in dein zierlich mansardenwohnung   ich klopfen an   eine neckisch   herein   und durch die fenster brechen die sonnenschein   eine lichtmeer sein es   drin welle schwimmen auf welle   ich aber stehen blenden auf die schwelle   o immer   treten ich in dein traut heim   schrieb es ich in+die herz sich wie eine neu reim   doch sein es mit sein farbig gardine so hell und freundlich ich noch nie erscheinen   zu+die schmaus gedeckt stehen schon dein klein tisch   grau hinter+die spiegel stack eine flederwisch   doch unbekümmert um die neu mode stand dicht dabei die ältlich kommode und unter eine kreuz von elfenbein die bild von dein todten mütterlein   wie tief in+die traum sehen lächelnd es hernieder auf eine zerles'nes buch                     ""                   die buch die lied                     ""                   von+die blumenbrett   die sich um+die fenster biegen   um alle die eine süß dufte fliegen   und dorther glänzen auch die beide schild   verzeihen   ich meinen dein landschaftsbild   denn du haben recht   die rein phantasie und farbenschillernd wie eine kolibri   rechts hängen die watzmann   links die gamsgarkogel und zwischen beide eine kanarienvogel   du selber aber   häubchenüberdeckt   eine weiß schürzchen vor die brust stecken   du schobst nun grad mit hausfraulich miene die spiritus in dein kochmaschine   eine kurz aufblick dann   eine leise schrei   und eins und eins   wie immer   sein zwei   drauf   wie ich ich schon oft lassen unterjochen   sollen ich auch heute mit du kaffee kochen   ich lärmen   doch was helfen ich mein protest   eine kußersticktes lache|lachen sein die rest   und als eine vielgewandter jung dichter halten ich galant du nun die kaffeetrichter   natürlich gehen die                   ""                   noch einmal so gut                   ""                       sehen hier die lied                     ""                   was man aus liebe thut                     ""                   wir schmecken   wechselnd prüfend   mit die zunge und endlich sein die groß wurf gelingen   zwar sein die tischzeug nur von grob zwilch   doch fehlen weder zucker drauf noch milch   und dampfend füllen nun die braun masse die goldumränderten geburstagstassen   die tränkleins wirkung aber kommen und gehen   bis sich die zünglein wie eine mühlrad drehen   was stift und tinte   häkelzeug und masche   wir sein heuen zwei recht|rechts plaudertasche   du schwärmtest von die neu ausverkauf ich aber schlagen eine klein büchlein auf und lesen du lied vor von schack und keller und übersehen auch nicht die kuchenteller   so sitzen wir   zwei groß kind   da   bis roth die abend durch die scheibe sehen   und tappen dann hinab die dunkel stiege   um noch eine stündlein vor die thor zu fliegen   dort   wo die wasser sich an+die stadtwall brechen   liegen bunt die park in+die letzt abendlicht und lassen die wipfel sich mit purpur tränken und kind spielen auf die rasenbänken   von+die nah thorthurm kommen die spätgeläut   ich scheinen es   es klingen noch nie so schön wie heuen   wir lugen lauschend durch die laubverhänge und schreiten flüsternd durch die buchengänge   zu fuß knirschen wir die gelb kies und alle scheinen wir   wie in+die paradies   doch als die glocke dann gemach verklangen   kommen leise schritt die dämmrung angehen   da hieltst du still und hauchtest ich in+die ohr                     ""                   o   wissen du noch   dort drüben vor die thor                     ""                   ob ich es wissen   wie lenz wollen es ich umwehen   dort sein es ja   wo wir wir zuerst sehen   und hier   wo waldversteckt die wasser rauschen   hier haben wir die erst kuss tauschen   o maitag   sonnenschein und blüthenregnen   noch heuen müssen ich ihr tausendfältig segnen   es sein doch eine schön   schön zeit   und denken ich dran   so werden die herz ich weit   man fühlen es   auch ohne dass man es gleich bedichtet   die lieb gott haben es doch gut einrichten   doch still   was brauchen es schon die erinnerung   wir sein ja beide noch so jung   so jung   es lachen die glück aus dein rothem mund                     ""                   wir winken ja noch so manche goldne stunde                     ""                                     ""                   gewiss   fielst du hier lächelnd ein   und wie   zu+die beispiel morgen eine landpartie   erinnern du du noch   wie du vor woche ich eine ausflug in+die gebirg versprechen   mein onkel dort   die wirth zu+die weiß schwan   wohnen ja ganz nahe an die eisenbahn   ich wissen   er freuen sich   wenn wir er besuchen   und tantchen gar backen eine extrakuchen   und dann   o gott   die wunderschön luft   wald   wiese   sonnenschein und kräuterduft   und über sich nichts   nichts als himmelsbläue   nein   nein   du wissen nicht   wie ich ich schon freuen                     ""                   da sprechen ich                     ""                   toppen   du klein niegenug   wir fahren morgen mit die erst zug   als musikant machen ich eins gern mal pause     doch es werden kühl hier   kommen   wir gehen nach haus                     ""                   und wieder thorwärts wenden wir wir um und werden still und wissen nicht   warum   in+die fluss die wasser rinnen nur noch von fern und durch die laubdach blitzen schon die stern   eine feucht nachtwind durch die wipfel streichen   du aber schmiegtest fest du an ich   und wie die schlusswort eine schön dichtung   that sich nun wieder vor wir auf die lichtung   dort heben die stadt sich schwarz und ungewiss von+die horizont ab wie eine schattenriss   nur hie und da werfen fernher aus die dunkel eine fenster noch sein rothes lichtgefunkel   es sein so schön   so wunderschön zu sehen   und schweigend bleiben wir zusammen stehn   denn nun treten auch die mond aus sein halle und lassen sein silber auf die dach fallen und drüben von die vorstadt her erklingen noch windverweht eine fromm nachtgesang   du sehen ich an und wissen nichts zu sagen   doch fühlen ich dein herz warm an mein herz schlagen und sprechen zu du und sein bewegen   wie nie                     ""                   nun wissen auch du   mein herz   was poesie   sie speisen die arm|arme und sie stärken die schwache   sie können die erde wir zu+die himmel machen   sie kosen in+die zephyr und sie harft in+die föhn   nicht wahr   mein herz   die leben sein doch schön                     ""                   "
111,Berliner Schnitzel,"Holz, Arno",9,4,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180115,"keine rückwärts schauender prophet   blenden durch unfasslich idol   modern sein die poet   modern von+die scheitel bis zu+die sohle   verrucht epigonenthum   egypter  und teutonenthum   dass du die teufel braten   schon längst sein wir fascikelsatt   grinsen doch durch jede titelblatt die dante'sche                   ""                   lasciate                   ""                     ihr arm dichter   die ihr                   ""                   philomele                   ""                     in jede lenze rythmisch angeschwärmt   o wenn ihr wissen   wie sich mein seele um ihr gottverlassnen schwester härmt   drehen ihr auch noch so ernsthaft euer phrase   die teufel setzen sie lustig in musik   denn eine ungeheuer lang nase haben sein großmama   die frau kritik   nicht wahr   du sein eine groß thier   so sprechen   was sein zu+die dichte|dichten nütze   eine perryfeder   eine stück papier   eine tintenfass und   eine schädel voll grütze   sie schwatzen befrackt hoch von+die katheder von alt und von neu kunst   von fleischgenuss und sinnenbrunst   und gerben nur leder   alt leder   sie lassen um jede attitüde eine weißgewaschnes hemdchen wehn   denn um die schönheit nackt zu sehen   sein euer seele viel zu prüde   ja   unser zeit sein eine dirne   die sich als                   ""                   mistreß                   ""                   producirt   mit simpelfranzen vor die stirn und schauderhaft decolletirt   sie rauben wir alle illusion   sie turnen trapez und pauken klavier   und machen aus fensterglas kanone und kronjuwel aus papier   urewig sein die groß welterhalters güte   urewig wechseln herbstblatfall und frühlingsblüthe   urewig rollen die klangstrom lyrisch gedicht   eine jede herz haben sein eigen weltgeschichte   ich sein eine dichter und keine papagei und lieb es drum   in unser zeit zu schauen   und doch missfallen an ihr ich dreierlei   und dies factum können ich nicht verdauen   die jung dame weinen sich nicht mehr                   ""                   blind                   ""                     die jung herr sein meistens eitel schopf   und                     ""                   lesen not least                   ""                     die echt thränen sein noch seltner heute als die echt möpse   die simpeldichter hören ich ewig flennen   sie tuten alle in dasselb horn und nie packen sie die dreimal heil'ge zorn   weil sie die elend nur aus buch kennen   "
112,Ein Tagebuchblatt,"Holz, Arno",28,4,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180116,"wie lang sein es her   erst sieben jahr   und doch klingen es schon                     ""                   es sein einmal                     ""                   die wiege nah als die bahre   gehen ich tagtäglich in+die pennal   ich sein eine träumerisch junge   lesen cicero und wilhelm hauff und tragen die herz auf mein zunge und spießen schmetterling auf   auch laufen ich   katzengold zu suchen   oft tagelang in+die wald umher und schwärmen unter hoch buche|buchen von einstger nimmerwiederkehr   betäubend duften die kressen   grüngolden fließen die licht herein   es sein eine seeliges vergessen   vergessen und vergessensein   die lenzwind lassen die ast knarren   von+die dorf herüber klingen die uhr   ich liegen begraben unter farre und stammeln                     ""                   natur   natur   in alt buch stehen schreiben   du sein eine weib   eine schön weib   ich sein eine mensch und müssen du lieben   denn dies erde sein dein leib   weh jen bleich nazarener   er stoßen du kalt von dein thron   ich aber sein so gut wie jen die gottheit eingeborner sohn   ich wollen nicht mönchisch du zergeißeln   her   dein freudenthränenwein   ich wollen dein bild in feuer meißeln und vollmensch wie eine grieche sein   doch du   um die in ew'gem schwunge die welt sich drehen   o poesie   o legen gold auf mein zunge und in mein herz gießen melodie   in ew'ge lied laß ich weben   wie du die herz ich süß erhellen   und wie so köstlich doch dies leben und wie so wunderschön die welt   noch gährt es von blinde und von taube und mehr als eine herz werd zu+die stein   ich aber lehren sie wieder glauben   ich wollen die neu johannes sein   in dein wunder wollen ich wiegen die sehnsucht ihr krank sein   in dein arm|arme wollen ich sie schmiegen   denn ich   du   sie     o wir alle sein eins                     ""                   so liegen ich träumend einst in+die wald   wenn tiefblau rings die himmel hängen   bis draußen hinter grün halde die sonne blutroth untergehen   dann schreiten ich heimwärts   und mit singen begrüß ' ich mein vater haus und schauen   wenn die stern gehen   noch lange in die nacht hinaus   und jetzt     die heimathlichen thäler   die sein jugend grün umrauscht   haben längst die lyrisch pennäler für eine weltstadt eintauschen   er sehen mit schauder   wie die laster sich dort juwelenfunkelnd blähen   die elend aber treten die pflaster von morgens früh bis abends spät   er hören   wie nachts in die fabrik die proletar nach freiheit schreien   indeß eine volk von domestiken die nackt recht in+die antlitz speien   er fühlen wie wild   wild flamme er heiß und roth die hirn durchlohn   und beißen die zahn fest zusammen und murmeln hohn   hohn   dreimal hohn   er sehen   er hören   er fühlen die jammer und wandeln tags von haus zu haus und grollen dann nachts in sein kammer sein herz in wild lied aus   er haben es längst   schon längst vergessen   wie wohl in+die lenz die sonne thut   und wie es in+die wald   umblüht von kressen   sich einst so schön   so schön geruhen|ruhen   nur manchmal   manchmal noch durchziehen sein herz   die nach erlösung schreien   die grün waldhornmelodieen die längst verrauscht kinderzeit   dann stöhnen er auf   und sein hand pressen er verzweifelt vor+die gesicht und rings die weißgetüncht wand erzittern   wenn er schluchzend sprechen                     ""                   o poesie   du heiligschöne   von thränen sein mein herz durchnässen   weil du die treu dein sohn in nacht und noth verkümmern lassen   ich sein eine kind und sprechen   o schütten dein füllhorn golden in mein lied und laß ich knieen in eine hütte   auf die die stern die liebe sehen   ja   laß auf eine weiß zelter ich fliegen in die sonnenschein   laß aus die leben freudenkelter mein herzblut sprühn als liederwein    du schwebtest segnend durch die luft   ich haben du selig nachgeblickt   und lenzgoldlicht und blüthendüfte hast du ich lächelnd zunicken   und doch   und doch   du haben lügen   dein lächeln sein eine schön gift   du haben ich um ich selbst betrügen   dein herz sein schwarz wie dein schrift   du geben ich eine wild rappen   umschnürtest mein brust mit erz und unter thränen in mein wappen hast du sticken eine blutend herz                     ""                   "
113,Ein Bild,"Holz, Arno",4,8,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180117,"aus sandstein sein die gelblich portal   die rothen säule aus granit hauen   und seitwärts in eine weiß piedestal vergraben eine löwe sein marmorklauen   doch schwarz verhängen sein alle fenster heuen und licht brennen nur in+die erdgeschoss   die straßendamm sein hoch mit stroh bestreuen und lautlos drüberhin rollen die karosse   die treppenhaus vertheidigt die portier und schütteln grimmig sein grau mähne   und nahen gar eine aus die hauen volée   dann fletschen er cerberusgleich sein zahn   in+die prunksaal trauern hinter flor und tafft die bunt inderstoffe aus lahore   auch schleichen die goldbetreßte dienerschaft nur auf spitzzehen durch die corridore   die hochgeborne hausherr   excellenz   schwanken wie eine rohr umher auf bleich düne   die erst redekraft die parlament fehlen heute abermals auf die tribüne   zwar treten man gestern erst in die etat   doch haben sein fehlen diesmal gut grund   schon viermal sein die greis hausarzt da und meinen   dass es sehr bedenklich stehen   nach eis und himbeer werden gar oft schellen   doch mäuschenstill sein es in+die krankenzimmer und sein düster teppichpracht erhellen nur eine ampel röthliches geflimmer   weit offen stehen die thür zu+die vestibul und wie in+die traum nur plätschern die fontaine   die luft umher sein wie gewitterschwül   denn ach   die                   ""                   gnä'ge fraa                   ""                   haben heuen   migräne   "
114,Ein Andres,"Holz, Arno",4,8,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180118,fünf wurmzernagte stiege gehen es hinauf ins letzt stockwerk eine miethskaserne   hier halten die nordwind sich an+die lieb auf   und durch die dachwerk schauen die himmel stern   was sie erspähn   o   es sein grad genug   um mit die elend brüderlich zu weinen   eine stückchen schwarzbrod und eine wasserkrug   eine werktisch und eine schemel mit drei bein   die fenster sein vernageln durch eine brett   und doch durchpfeift die wind es hin und wieder   und dort auf jen strohgestopften bett liegen fieberkrank eine jung weib darnieder   drei klein kind stehn um sie herum   die stier blick an ihr zug hangen   vor viele wein|weinen werd ihr mündlein stumm und keine thräne mehr netzt ihr wange   eine stümpfchen talglicht giebt nur trüb schein   doch horchen   es klopfen   was mögen die nur bedeuten   es klopfen und durch die thür treten nun herein eine jung herr   führen von nachbarsleuten   die armenhifsarzt sein es aus die revier   die sie holen aus mitleid mit die kranke   indeß ihr mann bei branntwein oder bier sich selbst betäuben und sein wuthgedanken   die jung doctor aber nehmen die licht und treten mit er an+die bett die arm weib   doch gelb wie wachs und spitz sein ihr gesicht und kalt und starr die glied ihr leib   da schluchzen sein herz   indeß die licht verkohlen   von niegekannter wehmuth überschlichen   weinen kind weinen   ich sein zu spät holen   denn euer mutter sein bereits   verbleichen   
115,Meine Nachbarschaft,"Holz, Arno",8,8,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180119,"mein fenster schauen auf eine düster hof   auf schmutzge dach und auf rußge mauer   doch wer wie ich eine stückchen philosoph   lassen darum sich noch lange nicht bedauern   eine wenige luft   eine wenige sonnenlicht dringen schließlich auch durch sein trüb scheibe   zn hungern und zu frieren brauchen ich nicht   und alle mein thun sein nur eine wenige schreiben   eine wenige schreiben   wenn ich stundenlang ich einlas in die wunderwelt die alte   bis endlich   endlich es auch ich gelingen   was ich fühlen   zu+die wohllaut zu gestalten   dann fließen es um ich wie eine heilgenschein und ich in+die herz bauen sich altar   so können ' ich glücklich und zufrieden sein   wenn ach   nur mein nachbarschaft nicht sein   keine schwärmer sein es   die die flöte lieben und auf ihr nur                   ""                   die sommer letzt rose                   ""                     keine tanzgenie   die ewig stunde|stunden giebt   auch keine klavierverrückter virtuose   eine arm schuster nur   die nächtens flicken   wenn längst auf+die dach herab die stern scheinen   indeß sein weib daneben sitzen und stricken und sein kinderchen vor hunger weinen   o gott   wie oft nicht schon haben diese laut ich mitten aus die tief schlaf rütteln   und wenn ich halbwach dann ich umschauen   haben wild es wie eine fieber ich schütteln   die mädchen schluchzen und die knabens schrei und ganz zuletzt die säugling leise wimmern   ich sein es als hören ich dann nebenbei drei klein   klein schwarz bettlein zimmern   ich sein es   als rollen dumpf dann vor die haus die nur zu wohlbekannt armenwagen   und jen bettlein tragen sie hinaus und laden sie in sein düster schragen   die kutscher aber nehmen noch eine schluck und peitschen fluchend sein magren schinder und über+die pflaster dann gings ruck auf ruck   doch ach   noch immer wimmern die kind   und immer   immer noch klingen es ich in+die ohr   wenn schon die morgen durch die fenster blicken   und ich um+die auge hängen eine thränenflor   wenn ich dann stumm mein tagewerk beschicken   was helfen ich nun mein                   ""                   stückchen philosoph                     ""                   in trümmer fallen   was ich so lustig bauen   doch that es die haus nicht   nicht die düster hof   nein   nur die abgebrochnen kindeslaute   die armuth betteln um eine stückchen brot   doch herzlos lassen die reichthum sie verhungern   million treten die goldgier in die koth und eine einzig nur lassen sie lungern   in seidne bett|betten wühlen sie er hinein   wenn er bei+die sekt sich ausplappern   indeß bei+die flackernd laternenschein die bleich elend mit die zahn klappern   o gott   warum dies alle   warum   wie zentnerlast drücken ich die frage nieder   in mein reim|reimen gehen sie heimlich um und ächzen und stöhnen durch mein arm lied   was bleiben ich noch auf dies erdenball   denn auch die kunst   längst steigen sie von+die kothurne   einst schlagen mein herz wie eine nachtigall   doch ach   nun gleichen es eine thränenurne   "
116,Von Ewigkeit zu Ewigkeit,"Holz, Arno",15,8,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180120,die schöpfung nie begriffne herrlichkeit entfachen noch stündlich die prometheusfunken   und doch sein ihr goldne blüthezeit schon längst in+die grab die ewigkeit sinken   denn jen welt die sagenpoesie sein nicht nur traum   sein wirklichkeit sein   und wer die schicksal seherkraft verleihen   können die noch heute aus die stern lesen   wer zählen die sprosse|sproß   die zertrümmern sein   aus jen gotterbauten himmelsleiter   die sonne glühen und kühlend wehen die wind und unaufhaltsam rollen die rad sich weiter   die leuchtend kreisen durch die dunkel all   erhaben groß sein noch die zahl die welt   und kommen allnächtlich eine auch zu fall   was können die meer wohl eine tropfen gelten   doch wer sich die geheimniß die natur nicht unter+die sternenzelt mögen offenbaren   die wandeln mit ich durch die erdenflur   so wie sie sein vor hunderttausend jahr   noch streiten keine jason um die goldne vließ   die menschheit knechtete keine triumphator   doch endlos dehnen sich eine paradies von+die nordpol bis hinunter zu+die äquator   wo heuen sich durch eisumstarrten belt die walfischfahrer ihr straße bahnen   erhub sich ehmals eine inselwelt beblüht von üppig wuchernd banane   und lächelnd kränzte sich die meeresfee mit bunt perlenmuscheln und koralle   wo längst verwehen von+die wüstenkörnerschnee die isistempel in sich selbst zerfallen   nicht trüben schon die funkelnd azur die riesenschlote schmutzigfeuchter brodem   denn unentweiht noch träumen die natur und jede windhauch sein eine gottesodem   keine erdgeborner fühlen sich entbrennen nach fremd wunder|wundern eine fremd zone und brechen mit sein frevlen menschenhand sich stein auf stein aus gott schöpfungskrone   doch jede zeit singen sich ihr eigen lied   und jen lied sein lange schon verklingen   die melodie die heuen die welt durchziehen   verhöhnen die alt überlieferung   die menschheit haben sich zu+die titanenkampf mit ihr mutter   die natur rüsten   und denken nur noch mit eisen   blut und dampf   weil sie es die schöpfer gleich zu thun gelüsten   erlöschen sein die kindlich fromm zug aus ihr angesichts versteinten miene und unbekümmert um die alt fluch zwingen sie die element ihr zu dienen   in+die bergschooß graben nach schatz|schätzen sie umher und machen die feuergeist sich zu+die vertraute   die weltumsegler schicken sie über+die meer und in die luft die kühn äronauten   ja   bis gen himmel   die die herr sich schaffen   auf dass er würdig sein schöpfung kröne   erheben sich schon die schicksalsschwangre ruf die staubentsprossenen gigantensöhne   denn hier auf dies eng erdenkreis sein kaum eine fels noch für sie zu verschieben   die steppensand nur und die gletschereis sein unentweiht vor ihr wuth bleiben   doch drücken sie auch die auferlegt joch   und seufzen sie auch um tag   die verwehen   eine prachtjuwel bleiben unser erde doch in+die kronendiademe die planet   denn unbekümmert um die weltenuhr lassen sie die tausendfältgen kraft sprühen und nach die heilgen rathschluß die natur die quelle springen und die blume blühen   wie herrlich steigen die erst frühlingstag doch immer noch von+die himmel zu ihr nieder   und schreiten erst die sommer durch die hag   dann fühlen sie ihr ganz jugend wieder   und stehen du dann   umwallt von alle die duft   dann lachen die flur und ihr strom blitzen und fernher schimmern durch die blau luft die ewig eisgezackten gletscherspitzen   da horchen   eine leise hauch in+die blätterdach   und durch die wipfel gehen eine seltsam rauschen   wie stimme flüstern es durch die laubgemach   und andachtsvoll müssen du die ton|tönen lauschen   die sein die wind   die ruhlos durch die welt dahinrollt auf die nie erschauten gleis   die nun in+die bergwald sein einzug halten und du erzählen von sein weit reise|reisen   erst sein   vergleichbar eine wild schwan   er majestätisch durch die luft ziehen und steigen dann nieder in die ocean und spielen mit die grüngewellten woge|wogen   doch bald verlocken er die nah strand und hinter sich lassen er die meergebrause und gehen mit riesenschritt über+die land und halten dann rast in eine felsenklause   da liegen denn nun tief unter er die welt idyllisch da in+die sommersonnengolde und athmete gen himmel   duftgeschwellt   wie eine farbenprächtge blüthendolde   und meereswellenschaum und gottesluft   dazu die paradiesisch gefilde verweben lieblich sich in+die sonnenduft zu eine nie geschaut wunderbilde   du aber schwellen die herz vor hoch lust bei solche windgetragnen himmelskunde   und die gefühl die übervoll brust gestalten sich zu+die wort in dein mund   du preisen natur und ihr herrlichkeit   die gott in sein eigen werk loben   und lächeln über die pygmäenstreit   die wider er die sterbliche erheben   die eitel selbstsucht menschlich kultur vermag nur eben die   was ihr von nöthen   sie wissen die herrlichkeit die gottnatur zu untergraben wohl   doch nie zu tödten   und sein auch ihr goldne blüthezeit schon längst in+die grab die ewigkeit sinken   die schöpfung nie begriffne herrlichkeit entfachen noch stündlich die prometheusfunken   
117,Spruch,"Jerschke, Oskar",1,8,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180121,es werden auf unser viellieben erde|erden   so lange sie wandern   nicht anders werden   die reich|reiche|reichen treiben mit himmel und gott fröhlich ihr lachend spott   schmaus|schmausen und zechen fasan und wein   lassen die philosophiren hübsch sein   sie besitzen die weisheit die welt   die weisheit haben klang und nennen sich geld   
118,"Aus den ""Italischen Liedern""","Jerschke, Oskar",3,6,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180122,wissen du noch   du mein toskanisch kind   wie wir in+die flüsternd abendwind über die meer fahren   bis in die sternespiegelnden see fels und stadt portovenere leise versinken sein   wissen du   luisella   wie liebeberauscht   nur von die fluth und die himmel belauschen   unser seele sich finden   lippe auf lippe lodernd brennen und du die sohn aus die nordisch land seligst geheimniß gestehen|stehen   wissen du auch   dass ich gut nie du haben gehört in lerici süß zu+die guitarre singen   nach die heimath rufen ich neidisch geschick   fahren wohl   fahren wohl   du traum von glück   in weh wollen die herz ich zerspringen   
119,Gebet,"Jerschke, Oskar",6,6,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180123,mein geschick ruhen ganz in dein hand   sternenherrscher   und nach dein wink werden die nacht mein licht leben enden und sich schließen mein tag ring   aber gnädig wandelst du dein wollen   dein rathschluß   wenn eine heiß gebet aus die glaubenssel'gen inbrunstvollen menschenherz zu du aufwärts flehen   und so bitt ich heuen mit heilig werben laß ich   vater   nicht in+die frühling sterben   wenn die wiese bunt blume blinken   falter gaukeln in die lau luft   frei die waldbachs hell welle winken und die forstung trinken die maienduft   in+die gelaub sich froh die fink wiegen   drossel|drosseln schlagen   lerche jubelnd fliegen   ach   dann strahlen die welt   die lenzgeküßte   wunderherrlich wie eine paradies   die ich trauern nur und weinen müssen   wenn die schicksal ich daraus verstoßen   und ich können noch in+die letzt ring|ringen   welt   zu du die liebe nicht bezwingen   laß mein müde auge sich umflirren   wenn die winter durch die tanne sausen und die wild forstwind durch die dürr   blätterlosen buchenwipfel brausen   eisige wolke sich an+die himmel ballen und in schnee und hagel niederfallen   gern und freudig werd ' ich dein wink|winken dann ich weihen und mit voll brust mein dasein letzt athem trinken   jen sel'gen hoffnung froh bewusst   dass ich aus die erde winterwehe in die ew'gen sternenfrühling gehen   
120,Wechsel der Welt,"Jerschke, Oskar",6,4,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180124,die welt sein nimmer bleiben die herrlich welt die homer   die gott sein längst vertreiben   stürzen sein die tempel in+die meer   verschollen die heilig lied   verwirbelt die opferrauch   in hohn und gespött darnieder brechen die priester brauch   nicht betend volk mehr wallen zu schimmernd säulenreihn   die hoch olympier alle geschmückt geschenk zu weihn   die himmlische müssen erliegen in toll jahrhundert kampf   es schwelgen in trophäe und sieg|siegen   es herrschen   die allmächtig dampf   es sausen die hämmer und dröhnen auf silber   auf gold und auf blei   maschine rasseln und stöhnen eine gellend einerlei   kaum können die donner dringen durch alle die fabrik gebraus   und lied und glockenklingen verschwimmen in+die rädergesaus   
121,Für die Zukunft,"Jerschke, Oskar",6,6,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180125,"wer heuen ' nicht die eigen zeit verstehen   die lassen die himmel nur sterben   eh ' die glimmend welt in flamme aufgehen und die marmorpaläste verderben   eh ' die thron versinken in+die siedend meer und die blutrauch dampfen durch die gasse einher   glückselig die mensch   die taumelfroh sich durch die jahrhundert trollen   champagner trinken   ob lichterloh auch draußen die blitz rollen   die nie bei+die gelag ' die gedanke bedräut                     ""                   die welt können nimmer so bleiben wie heuen                     ""                   hier haufe von gold und demant und geschmeid '   dort auch nicht eine heller zu finden   hier brausend   sausend herrlichkeit   dort trocken schwarzbrodrinden   gott vater in+die himmel schick ' eine prophet '   die die welt in die gewissen zu reden verstehen   schick ' eine prophet in es gährende land   die sollen die palast besuchen   die sollen an die marmorspiegelnde wand in flammenschrift schreiben und buchen   auf dass es die prasser mit grausen erfassen   auf eine vulkan stehen unser palast   auf dass sie warnen   noch eh ' es zu spät   eh ' die woge|wogen die aufruhr stürmen   eh ' die roh gewalt wie die sense mähen und die barrikade sich thürmen   die hungernd haufe mit pechkranz und blei ertrotzen   dass die glück auch er hold nun sein   dann gelten nichts heilige mehr auf die welt   es stürzen kirch ' und kapelle   die liebe verrohen und die glaube zerschellen   die mitleid begraben die welle   die masse nur raufen sich um die gold   die über die dampfend trümmer rollen   "
